"","GSM1679409","GSM1679410","GSM1679411","GSM1679412","GSM1679413","GSM1679414"
"A1BG",6.326828007,6.087031668,6.24833091,7.287724996,7.19750447,7.142637737
"A1BG-AS1",4.968208758,4.838375701,4.879830185,5.412204937,5.121371874,5.240757747
"A1CF",4.999438088,5.160662001,5.121140472,5.213399216,4.89770916,5.310855905
"A2M",4.2269728635,3.9961342325,4.2812428155,4.244849089,4.2157675055,4.4123243745
"A2M-AS1",3.48062306,3.74813191,2.956952478,3.642684984,3.307184365,3.448756462
"A2ML1",3.333158182,3.366094283,3.429866077,3.6562603365,3.6154918075,3.5964842495
"A2MP1",4.712948415,4.803951296,4.61222807,4.8320593,4.640409801,4.59084285
"A4GALT",6.107147155,6.362085347,6.107147155,6.170186091,6.028967902,6.105061113
"A4GNT",4.847866465,4.728183791,5.023626265,5.175291178,5.13329144,5.138443765
"AA06",4.383765212,4.474705089,4.442910215,4.3046763,4.484415009,4.359422714
"AAAS",7.370635288,7.359229571,7.349384395,7.242834102,7.219661419,7.224985128
"AACS",8.748491288,8.754929414,8.623212069,8.696503207,8.70520858,8.76039276
"AACSP1",3.108418693,2.990098004,3.022950092,3.332238868,3.336024592,3.256828334
"AADAC",4.051898434,4.061993043,3.765474029,4.27349929,4.130315393,3.671419976
"AADACL2",2.54262734,1.97112564,2.617591932,2.336952404,2.527396812,2.561588666
"AADAT",6.914871217,6.773457638,6.6560081,6.200429883,6.042791239,5.874623546
"AAGAB",6.530427605,6.5740137015,6.6300973335,6.5778940295,6.6590636285,6.674299983
"AAK1",5.22387689071429,5.21766710642857,5.25323022271429,5.33741026842857,5.26691208242857,5.37511266171429
"AAMDC",6.15645726833333,6.13131775333333,5.98977934566667,6.57287700966667,6.42152536533333,6.54264602
"AAMP",9.274522094,9.555259524,9.426905954,9.263581454,9.34459111,9.283350266
"AANAT",3.398689077,3.508284878,3.589828606,3.498512244,3.344777371,3.608658645
"AAR2",7.79405714,7.669974652,7.875017432,7.71005554,7.877014085,7.930008221
"AARS1",9.387779626,9.506051116,9.502394119,8.942903712,8.853740784,8.898726215
"AARS2",6.6855806795,6.793320549,6.8671089765,6.8190511,6.781433567,6.7792682095
"AARSD1",6.681351088,6.683581917,6.780690394,6.814429977,6.781761186,7.077572312
"AASDH",6.602633389,6.5726348595,6.245533335,6.299818524,6.0511257085,6.1236089185
"AASDHPPT",6.61671507433333,6.55861722566667,6.70300215933333,6.25844706133333,6.34009897833333,6.055417349
"AASS",3.199964555,3.06919427,2.9524443105,3.8763440495,4.0831357105,3.6828191565
"AATBC",4.631465282,4.592806409,4.676894196,4.378597678,4.339598066,4.511849969
"AATF",9.280151004,9.253070129,9.38855741,8.76307815,8.783325261,8.659564175
"AATK",6.995030043,6.681951416,7.028102676,7.164043812,6.690454544,7.065440009
"ABAT",8.89585420666667,8.993947293,9.20788500566667,8.42471357733333,8.45852550466667,8.54562709033333
"ABCA1",4.69706051525,4.8224268195,4.800998757,4.967057192,5.459716613,5.1399234835
"ABCA11P",5.69732663,5.974383102,5.642562956,5.180779351,5.746479232,5.251437832
"ABCA12",7.525872537,7.592004076,7.467544718,6.52052076,7.291932897,6.156615981
"ABCA17P",7.044294917,7.262642898,7.32988733,7.136695593,6.860175636,6.573774349
"ABCA2",5.897348566,6.017202436,5.91558949033333,5.87967127766667,5.776398038,5.935350989
"ABCA3",7.287469721,7.352084209,7.309907131,8.23952384,8.256168627,8.331911864
"ABCA4",4.1452846675,4.081324158,4.169853742,4.4048814575,4.150293609,4.256135924
"ABCA5",6.8160670445,6.4148974195,6.5148695015,6.987177092,6.93788714,7.0325267245
"ABCA6",2.753534591,3.237698354,2.388733427,2.976004376,2.715698964,2.898742513
"ABCA7",6.041967173,5.78389988,5.947110197,5.976509108,5.796503829,5.748367006
"ABCA8",3.4183831825,3.307741514,3.4065559495,3.502537661,3.5771280325,3.434504062
"ABCA9",2.50450364566667,2.48740878333333,2.56094653166667,2.515503008,2.63826348633333,2.452513449
"ABCB1",3.38482159433333,3.44411145233333,3.44743194066667,3.49392945566667,3.377379355,3.54565088533333
"ABCB10",6.467664945,6.751530948,6.696000253,6.246837563,6.55750008,6.64813382
"ABCB11",3.4163903255,3.562848622,3.420278069,3.6364893925,3.315563532,3.596615041
"ABCB4",3.7883592825,3.587870706,3.414236468,4.018334692,4.125091691,3.915675759
"ABCB5",4.03362537266667,4.089496662,4.15779627466667,4.08068533633333,4.15109278,4.24766550433333
"ABCB6",5.987662274,6.0965886875,5.843534286,5.68642256,5.464415383,5.566930421
"ABCB7",7.687735143,8.025062956,7.661618202,7.413613843,7.456592356,7.535837376
"ABCB8",5.646774196,5.6815447265,5.5390569415,5.29924181,5.512423077,5.421464724
"ABCB9",5.68414716733333,5.76995977933333,5.50769626533333,5.93821982266667,5.902097426,5.85845907033333
"ABCC1",8.4742075035,8.596833139,8.3438950325,7.459900123,7.50685822,7.688245455
"ABCC10",7.344336923,7.376532172,7.2252981375,7.0268953255,6.777221336,6.999136507
"ABCC11",3.619185538,3.5707446445,3.399262739,3.9263120895,3.7671699945,3.717610242
"ABCC12",3.0824849535,2.989741325,3.0566769835,3.0579488835,3.172606416,2.864686267
"ABCC13",4.14442030075,4.28984968325,3.57135671375,2.94190946675,3.1179894945,3.05049916875
"ABCC2",4.56498067,4.480587904,4.634397537,4.453692669,4.276812209,4.389127085
"ABCC3",6.310883575,6.3313484622,6.3443754854,6.1292655894,6.033307061,6.1060551458
"ABCC4",3.865016073,4.11690644425,4.40809771,3.433811695,3.59958414825,3.52551737025
"ABCC5",6.65656026666667,6.57603951933333,6.41985003866667,6.997676015,6.66075292366667,6.89669153666667
"ABCC6",4.985989996,5.035734436,4.78848446933333,5.60322072,5.619998933,5.491304462
"ABCC6P1",2.452987593,2.779054351,2.534531692,2.352179249,2.822062,2.603716325
"ABCC8",5.513480783,5.4740079735,5.7872859725,6.128438326,6.1222663765,6.140567654
"ABCC9",3.17682590175,3.139197093,3.308650565,3.236280326,3.388398962,3.398110115
"ABCD1",6.907597867,6.864011048,6.912340438,6.393765278,6.651367026,6.650386587
