"a","n1","n2","DVEPB","Welch","EV_test","VREPB","B_F"
5,5,5,0.0949772697076267,0.114856806914099,0.199033029839874,0.0845178354405021,0.0413734359543095
5,5,6,0.0976621454101552,0.113482005875963,0.207114496241717,0.0906691991031373,0.0487193163242217
5,5,7,0.0903345106748441,0.10390310419696,0.231536023696563,0.0882269563943247,0.0543699944157977
5,5,8,0.095003662810749,0.113638173075961,0.278057563281624,0.089159340137771,0.0522652079508808
5,5,9,0.0945724618154212,0.114317278786009,0.30636548859219,0.0899892475951689,0.0547682912515762
5,5,10,0.0932644986467946,0.11688698837358,0.344979634055285,0.0934682244817114,0.0605912649305524
5,5,11,0.0888876301187605,0.111262052439314,0.377885744017065,0.0894813733086068,0.0599236373225069
10,5,5,0.107768725896791,0.109791968196355,0.26449398685148,0.0915707209694532,0.063642463170833
10,5,6,0.111893974613582,0.104276083192262,0.271569711210881,0.094182501320442,0.0671664354300312
10,5,7,0.098992149212832,0.0918283813282541,0.304174918280825,0.0908142465131423,0.0711244413576189
10,5,8,0.105673352073055,0.106703073148919,0.360297516503156,0.0926460502775912,0.0685627087830783
10,5,9,0.109669812921532,0.10486214170743,0.400078396672503,0.0919108621150031,0.0709535938367445
10,5,10,0.102748760308713,0.107114496976438,0.445069884287871,0.0958921162195147,0.0771721510072528
10,5,11,0.0991566764883632,0.104578655903679,0.485911566167492,0.090702278073773,0.0752099374021352
15,5,5,0.136885513874617,0.100087076603866,0.287514761914407,0.108942753150618,0.0745707923177969
15,5,6,0.1379667974547,0.0987505671836109,0.294692189264169,0.111576489240048,0.0751006271617367
15,5,7,0.133849021654817,0.0878914373880775,0.328599356611426,0.112845382721248,0.0761136082977466
15,5,8,0.140567811718224,0.100864171695569,0.389204080658187,0.11502725015682,0.0793749702671527
15,5,9,0.138617395645871,0.100027129327352,0.430206765322731,0.116142349406643,0.0769731120814848
15,5,10,0.139400463313362,0.103000815141257,0.477466479592275,0.116854792813608,0.0763285686012229
15,5,11,0.134976482659904,0.0994970123994087,0.520514405679951,0.116981501006088,0.0774757974008599
