"a","n1","n2","DVEPB","Welch","EV_test","VREPB","B_F"
5,5,5,0.39152,0.32648,0.41696,0.32412,0.24208
5,5,6,0.39524,0.34504,0.43648,0.35192,0.27652
5,5,7,0.4114,0.36844,0.46056,0.37916,0.30716
5,5,8,0.41056,0.37684,0.46928,0.39268,0.32172
5,5,9,0.42928,0.3994,0.49132,0.4042,0.33728
5,5,10,0.43416,0.40836,0.49976,0.40156,0.33624
5,5,11,0.43532,0.4118,0.50792,0.419,0.35796
10,5,5,0.313,0.27304,0.37648,0.26388,0.2242
10,5,6,0.31192,0.28184,0.39408,0.27736,0.24284
10,5,7,0.32312,0.2932,0.41468,0.29644,0.25956
10,5,8,0.31876,0.29668,0.4246,0.30268,0.26652
10,5,9,0.33488,0.312,0.44532,0.30908,0.27464
10,5,10,0.33668,0.3182,0.45348,0.30736,0.27076
10,5,11,0.33824,0.31888,0.459,0.31744,0.28588
15,5,5,0.2976,0.25508,0.36432,0.25739,0.22342
15,5,6,0.29692,0.26092,0.378,.27519,0.2406
15,5,7,0.3068,0.26812,0.40144,0.28064,0.2447
15,5,8,0.30216,0.26552,0.40684,0.28304,0.24869
15,5,9,0.31596,0.28276,0.42908,0.2911,0.25789
15,5,10,0.316,0.28756,0.43532,0.2922,0.25778
15,5,11,0.3128,0.2854,0.44092,0.29831,0.26633
