"","Round_FDP","VREPB","DVEPB","Welch","B_F","EV_test"
"1",1,0,0.14375,0,0,0
"2",2,0,0.133333333333333,0,0,0
"3",3,0,0.123076923076923,0,0,0
"4",4,0,0.146892655367232,0,0,0
"5",5,0,0.140939597315436,0,0,0
"6",6,0,0.109195402298851,0,0,0
"7",7,0,0.0670731707317073,0,0,0
"8",8,0,0.116022099447514,0,0,0
"9",9,0,0.128342245989305,0,0,0
"10",10,0,0.164705882352941,0,0,0
"11",11,0,0.107954545454545,0,0,0
"12",12,0,0.151685393258427,0,0,0
"13",13,0,0.117283950617284,0,0,0
"14",14,0,0.171717171717172,0,0,0
"15",15,0,0.0909090909090909,0,0,0
"16",16,0,0.117948717948718,0,0,0
"17",17,0,0.0813953488372093,0,0,0
"18",18,0,0.127777777777778,0,0,0
"19",19,0,0.184357541899441,0,0,0
"20",20,0,0.104575163398693,0,0,0
"21",21,0,0.144578313253012,0,0,0
"22",22,0,0.109195402298851,0,0,0
"23",23,0,0.107954545454545,0,0,0
"24",24,0,0.122448979591837,0,0,0
"25",25,0,0.0961538461538462,0,0,0
